ISO3,国家,MMR,MMR年份,原始GDP,GDP年份,logGDP（公式）,政治体制代码,文字类别,政治体制年份,CPR,CPR年份,CPR缺失标记（公式）,log(MMR)（公式）,Regime=1,Regime=2,Regime=3,CPR年份-2018,审计备注,_row
SAU,Saudi Arabia,7,2023,64481.8441927288,2023,11.074138977775368,0.0,Closed autocracy,2023.0,39.9921873361432,2023.0,Observed,1.9459101490553132,0.0,0.0,0.0,5.0,,133
SEN,Senegal,237,2023,4304.76148721773,2023,8.36747701166096,2.0,Electoral democracy,2023.0,26.5,2023.0,Observed,5.4680601411351315,0.0,1.0,0.0,5.0,,134
SRB,Serbia,11,2023,25735.1334774195,2023,10.155612398683838,1.0,Electoral autocracy,2023.0,62.2958961009131,2019.0,Observed,2.3978952727983707,1.0,0.0,0.0,1.0,,135
SYC,Seychelles,42,2023,28713.6672353088,2023,10.265128498685083,3.0,Liberal democracy,2023.0,,,Missing,3.7376696182833684,0.0,0.0,1.0,,,136
SLE,Sierra Leone,354,2023,3034.94608192505,2023,8.017948937907471,1.0,Electoral autocracy,2023.0,21.2,2019.0,Observed,5.869296913133774,1.0,0.0,0.0,1.0,,137
SGP,Singapore,6,2023,130296.843789261,2023,11.77757054017383,1.0,Electoral autocracy,2023.0,,,Missing,1.791759469228055,1.0,0.0,0.0,,,138
SVK,Slovak Republic,4,2023,39501.9474231962,2023,10.584105251526985,2.0,Electoral democracy,2023.0,,,Missing,1.3862943611198906,0.0,1.0,0.0,,,139
SVN,Slovenia,3,2023,47986.4195855821,2023,10.778673324558742,2.0,Electoral democracy,2023.0,,,Missing,1.0986122886681098,0.0,1.0,0.0,,,140
SLB,Solomon Islands,123,2023,2339.87469992347,2023,7.757852659876801,2.0,Electoral democracy,2023.0,29.3,2015.0,Observed,4.812184355372417,0.0,1.0,0.0,-3.0,,141
SOM,"Somalia, Fed. Rep.",563,2023,1401.64735228455,2023,7.245403504061039,0.0,Closed autocracy,2023.0,6.9,2019.0,Observed,6.333279628139691,0.0,0.0,0.0,1.0,,142
ZAF,South Africa,118,2023,13695.3755694076,2023,9.524813505155223,2.0,Electoral democracy,2023.0,54.6,2016.0,Observed,4.770684624465665,0.0,1.0,0.0,-2.0,,143
ESP,Spain,3,2023,47322.5937004504,2023,10.764743128518573,3.0,Liberal democracy,2023.0,62.0757,2018.0,Observed,1.0986122886681098,0.0,0.0,1.0,0.0,,144
LKA,Sri Lanka,18,2023,13065.0698305722,2023,9.477697522798616,2.0,Electoral democracy,2023.0,64.6,2016.0,Observed,2.8903717578961645,0.0,1.0,0.0,-2.0,,145
SDN,Sudan,256,2023,2181.0791015625,2023,7.687575034027438,0.0,Closed autocracy,2023.0,12.77805417,2014.0,Observed,5.545177444479562,0.0,0.0,0.0,-4.0,,146
SUR,Suriname,84,2023,19020.8663751009,2023,9.85329188580335,3.0,Liberal democracy,2023.0,39.12159292,2018.0,Observed,4.430816798843313,0.0,0.0,1.0,0.0,,147
SWE,Sweden,4,2023,62122.5116950792,2023,11.036863709398858,3.0,Liberal democracy,2023.0,,,Missing,1.3862943611198906,0.0,0.0,1.0,,,148
CHE,Switzerland,5,2023,85383.3564504008,2023,11.354906471443696,3.0,Liberal democracy,2023.0,71.6,2017.0,Observed,1.6094379124341003,0.0,0.0,1.0,-1.0,,149
SYR,Syrian Arab Republic,20,2023,4579.43973633341,2022,8.42933194131403,0.0,Closed autocracy,2023.0,,,Missing,2.995732273553991,0.0,0.0,0.0,,,150
TJK,Tajikistan,14,2023,4472.3241378777,2023,8.405663493844605,1.0,Electoral autocracy,2023.0,29.3,2017.0,Observed,2.6390573296152584,1.0,0.0,0.0,-1.0,,151
TZA,Tanzania,276,2023,3620.79345703125,2023,8.194448467827057,1.0,Electoral autocracy,2023.0,37.6,2022.0,Observed,5.62040086571715,1.0,0.0,0.0,4.0,,152
THA,Thailand,34,2023,21245.2706771879,2023,9.96388959321559,1.0,Electoral autocracy,2023.0,72.8,2022.0,Observed,3.5263605246161616,1.0,0.0,0.0,4.0,,153
TLS,Timor-Leste,192,2023,4331.07792560386,2023,8.373571733572703,2.0,Electoral democracy,2023.0,26.0,2016.0,Observed,5.2574953720277815,0.0,1.0,0.0,-2.0,,154
TGO,Togo,349,2023,3215.82300022488,2023,8.075838591540744,1.0,Electoral autocracy,2023.0,23.8,2017.0,Observed,5.855071922202427,1.0,0.0,0.0,-1.0,,155
TTO,Trinidad and Tobago,54,2023,31196.603554718,2023,10.348064507446143,3.0,Liberal democracy,2023.0,36.5,2022.0,Observed,3.9889840465642745,0.0,0.0,1.0,4.0,,156
TUN,Tunisia,36,2023,12650.9615158166,2023,9.445488500422579,1.0,Electoral autocracy,2023.0,54.0,2023.0,Observed,3.58351893845611,1.0,0.0,0.0,5.0,,157
TUR,Turkiye,15,2023,35069.1701714685,2023,10.465077680791783,1.0,Electoral autocracy,2023.0,69.8,2018.0,Observed,2.70805020110221,1.0,0.0,0.0,0.0,,158
TKM,Turkmenistan,5,2023,17685.8585929282,2023,9.78052064967955,0.0,Closed autocracy,2023.0,49.6763641281299,2019.0,Observed,1.6094379124341003,0.0,0.0,0.0,1.0,,159
UGA,Uganda,170,2023,2791.05576885861,2023,7.934175215013012,1.0,Electoral autocracy,2023.0,43.0,2022.0,Observed,5.135798437050262,1.0,0.0,0.0,4.0,,160
UKR,Ukraine,15,2023,15916.9580078125,2023,9.675140361229007,1.0,Electoral autocracy,2023.0,65.4588684,2012.0,Observed,2.70805020110221,1.0,0.0,0.0,-6.0,,161
ARE,United Arab Emirates,3,2023,70239.8328337228,2023,11.159670848376251,0.0,Closed autocracy,2023.0,,,Missing,1.0986122886681098,0.0,0.0,0.0,,,162
GBR,United Kingdom,8,2023,53423.4226338292,2023,10.886004554881648,3.0,Liberal democracy,2023.0,76.1,2012.0,Observed,2.0794415416798357,0.0,0.0,1.0,-6.0,,163
USA,United States,17,2023,74351.6718197429,2023,11.216561437442397,3.0,Liberal democracy,2023.0,73.9,2019.0,Observed,2.833213344056216,0.0,0.0,1.0,1.0,,164
URY,Uruguay,15,2023,31100.9696889882,2023,10.34499427739148,3.0,Liberal democracy,2023.0,,,Missing,2.70805020110221,0.0,0.0,1.0,,,165
UZB,Uzbekistan,26,2023,10514.0955721447,2023,9.260472071327113,0.0,Closed autocracy,2023.0,58.8,2022.0,Observed,3.258096538021482,0.0,0.0,0.0,4.0,,166
VUT,Vanuatu,100,2023,3782.82649029418,2023,8.238226757943892,2.0,Electoral democracy,2023.0,49.0,2013.0,Observed,4.605170185988092,0.0,1.0,0.0,-5.0,,167
VNM,Viet Nam,48,2023,13534.7997843016,2023,9.513019409497293,0.0,Closed autocracy,2023.0,72.8,2021.0,Observed,3.871201010907891,0.0,0.0,0.0,3.0,,168
PSE,West Bank and Gaza,16,2023,5562.42442563953,2023,8.623789339980318,,Not available,,57.3,2020.0,Observed,2.772588722239781,0.0,0.0,0.0,2.0,OWID 2023 reports Palestine/Gaza and Palestine/West Bank separately; no unified PSE regime value.,169
ZMB,Zambia,85,2023,3673.4841969922,2023,8.208895863157027,2.0,Electoral democracy,2023.0,49.6,2018.0,Observed,4.442651256490317,0.0,1.0,0.0,0.0,,170
ZWE,Zimbabwe,358,2023,5218.04526596398,2023,8.559878140623397,1.0,Electoral autocracy,2023.0,66.8,2015.0,Observed,5.8805329864007,1.0,0.0,0.0,-3.0,,171
