row,iso,country,MMR,MMRyear,GDP,GDPyear,CPR,CPRyear,indicator,live_year,live_value,live_country,status,diff
5,AFG,Afghanistan,521,2023,1983.81261992909,2023,22.5,2015.0,CPR,2015.0,22.5,Afghanistan,MATCH,0.0
6,ALB,Albania,7,2023,20501.6470726741,2023,46.0,2018.0,CPR,2018.0,46.0,Albania,MATCH,0.0
7,DZA,Algeria,62,2023,15159.3242373415,2023,53.6,2019.0,CPR,2019.0,53.6,Algeria,MATCH,0.0
8,AGO,Angola,183,2023,8597.53878787554,2023,13.7,2016.0,CPR,2016.0,13.7,Angola,MATCH,0.0
9,ARG,Argentina,33,2023,27230.3968496682,2023,70.1027087175867,2020.0,CPR,2020.0,70.1027087175867,Argentina,MATCH,0.0
10,ARM,Armenia,19,2023,19402.7510915578,2023,57.1,2016.0,CPR,2016.0,57.1,Armenia,MATCH,0.0
11,AUS,Australia,2,2023,60684.9596204883,2023,66.93,2016.0,CPR,2016.0,66.93,Australia,MATCH,0.0
12,AUT,Austria,6,2023,64536.2076307547,2023,65.6525747141987,2013.0,CPR,2013.0,65.6525747141987,Austria,MATCH,0.0
13,AZE,Azerbaijan,18,2023,21310.7386915022,2023,54.9,2011.0,CPR,2011.0,54.9,Azerbaijan,MATCH,0.0
14,BHR,Bahrain,17,2023,57819.9051831242,2023,,,CPR,,,,MISSING_IN_LIVE,
15,BGD,Bangladesh,115,2023,8242.39798977242,2023,64.0,2022.0,CPR,2022.0,64.0,Bangladesh,MATCH,0.0
16,BRB,Barbados,35,2023,20865.0155437147,2023,59.20685012,2012.0,CPR,2012.0,59.20685012,Barbados,MATCH,0.0
17,BLR,Belarus,1,2023,27782.4380139967,2023,52.6,2019.0,CPR,2019.0,52.6,Belarus,MATCH,0.0
18,BEL,Belgium,4,2023,63042.0099876309,2023,66.7,2018.0,CPR,2018.0,66.7,Belgium,MATCH,0.0
19,BEN,Benin,518,2023,3721.21254814808,2023,22.4,2022.0,CPR,2022.0,22.4,Benin,MATCH,0.0
20,BTN,Bhutan,47,2023,14610.2959097837,2023,65.60409679,2010.0,CPR,2010.0,65.60409679,Bhutan,MATCH,0.0
21,BOL,Bolivia,146,2023,11616.1575595159,2023,66.5,2016.0,CPR,2016.0,66.5,Bolivia,MATCH,0.0
22,BIH,Bosnia and Herzegovina,6,2023,19804.9181465635,2023,46.01743031,2012.0,CPR,2012.0,46.01743031,Bosnia and Herzegovina,MATCH,0.0
23,BWA,Botswana,155,2023,18932.4802712334,2023,67.4,2017.0,CPR,2017.0,67.4,Botswana,MATCH,0.0
24,BRA,Brazil,67,2023,19079.8122134028,2023,80.2004995714604,2013.0,CPR,2013.0,80.2004995714604,Brazil,MATCH,0.0
25,BGR,Bulgaria,6,2023,33073.6803093453,2023,,,CPR,,,,MISSING_IN_LIVE,
26,BFA,Burkina Faso,242,2023,2486.20669812871,2023,33.9627403568433,2022.0,CPR,2022.0,33.9627403568433,Burkina Faso,MATCH,0.0
27,BDI,Burundi,392,2023,1033.00937341776,2023,28.5,2017.0,CPR,2017.0,28.5,Burundi,MATCH,0.0
28,CPV,Cabo Verde,40,2023,9228.4604533114,2023,55.8,2018.0,CPR,2018.0,55.8,Cabo Verde,MATCH,0.0
29,KHM,Cambodia,137,2023,6695.29194763723,2023,61.9,2022.0,CPR,2022.0,61.9,Cambodia,MATCH,0.0
30,CMR,Cameroon,258,2023,4875.25120768005,2023,19.3,2018.0,CPR,2018.0,19.3,Cameroon,MATCH,0.0
31,CAN,Canada,12,2023,58088.3778077995,2023,,,CPR,,,,MISSING_IN_LIVE,
32,CAF,Central African Republic,692,2023,1132.67643369804,2023,17.8,2019.0,CPR,2019.0,17.8,Central African Republic,MATCH,0.0
33,TCD,Chad,748,2023,2433.53330962707,2023,8.1,2019.0,CPR,2019.0,8.1,Chad,MATCH,0.0
34,CHL,Chile,10,2023,29600.4188613168,2023,76.2635245751857,2016.0,CPR,2016.0,76.2635245751857,Chile,MATCH,0.0
35,CHN,China,16,2023,22687.2519534328,2023,84.5,2017.0,CPR,2017.0,84.5,China,MATCH,0.0
36,COL,Colombia,59,2023,18406.6242338491,2023,81.0,2015.0,CPR,2015.0,81.0,Colombia,MATCH,0.0
